,user_name,date,rating,review_text
67,강철원,8달 전,5,자전거도로에벚꽃이 아주 멋있어 좋았습니다
68,YUWA JUNG,10달 전,5,좋았어요 자주 갈께요 관리해주시는 분들 감사드립니다 화장실도 깨끗해서 놀랐어요~^^ 쓰레기는 다 들고 왓습니다 환경보호~♡
69,yowng woon jung,8달 전,5,인생샷. 찍으려면 반드시 가볼만한곳 역광샷 최고
70,lim cheol hwan,9달 전,5,"사계절이 뚜렷하게  특징있는곳입니다
생태공원,체육시설,둘래길,오토켐핑장,
자전거길,인라인장,등이있습니다,"
71,김수철,2달 전,5,코로나로 인해 못가서 아쉬운 장소입니다.
72,오세헌,9달 전,5,봄에 갔던 기억만큼이나 가을에도 좋네요.
73,ミ二,9달 전,2,나름 준비는 많이해뒀지만 너무 넓고 공간이 알차지가 않은 기분
74,Chang Ho Park,6달 전,5,넓고 강도 있어서 어무좋아요.
75,지크,9달 전,5,아이들이 놀기좋은곳입니다 자전거대여하는곳도있고 좋아요
76,권도윤,9달 전,5,여러사람들과공유하며힐링하기에늠좋은곳
77,김정민,8달 전,5,휴식과 여유를 느낄수 있는곳
78,성기근,7달 전,5,넓어서 아주좋음  여유가 있음
79,김정훈,6달 전,5,자전거도 탈수있어서 좋다
80,먕TV,10달 전,5,양 있을때 갔어야했는데 삼락공원 예전이랑은 다르게 많이 좋아져서 자전거 타러가시는 분들도 강추 입니당 죠아용 ♥️
81,권태윤,9달 전,4,"좋은곳이네요 
억새가 너무좋네요
그렇지만 쉴공간이좀부족하네요"
82,이만재,9달 전,5,갈대와갇히즐거운 하루의시작
83,강선미,10달 전,5,부산 도심에 이런 생태공간이 있다는게  너무 축복이네요
84,NARA Kim,1년 전,5,진해 여좌천보다 더 큰 벛꽃나무들이 길게 연결되어 있습니다. 숨은 벛꽃 명소네요.#부산서부버스터미널 #숨은 #벛꽃길
85,남자허정호,10달 전,5,운동  휴식 산책 노을이 참 아름다운 곳 입니다
86,오오정태,2달 전,4,자전거타기 좋음
87,Jack Apple,6달 전,4,"비가 올땐 조심하자.
나오는데 길이 없어질수도있음."
88,김외식kimws,6달 전,3,작년 삼월방문 때인데 벌써 꽃필 때 되어가네요
89,하종민,10달 전,5,바람이 많이 불었지만 시원했어요.
90,박재민,10달 전,4,주차와 편의 시설이 잘 되어있어요
91,핑구,10달 전,5,"여기가 락의 성지인가요?
내 동년배들 다 부락 보러온다^^
아 그니까 좀 잘하자~~~
남극에서 가긴 좀 멀더군요.."
92,min nk,10달 전,2,야간에 모기와 벌레가 너무 많음
93,김명재,9달 전,4,생태공원이 계절마다 볼거리가 많은 곳
94,김윤성,1년 전,5,"원시림같은자연적인대고원이도심에있다는것이지랑스럽습니다꾸미지않은자연적인공원에서만나요
삼락공원은근처에사는나에게일억의가치가있다"
95,강희모,11달 전,4,"조용하니 좋습니다
추석연휴시작인데 비도오고 사람도 없고 조용하네요"
96,안해수,4달 전,5,노을이 멋진곳
97,Changyeong Park,1년 전,5,"부산 사람 유명. 휴식처
체육시설. 공원. 국궁장. 심지어 야생화단지에 요트선착장도 있음"
98,하헌대,7달 전,4,운동과 산책하기 좋아요
99,KANGHUI LEE,8달 전,4,꽃구경 가기 좋은 곳
100,김병환,9달 전,4,이용하기 불편함은없다!
101,이영례,1년 전,5,"생태 습지대  환경이 아주좋습니다.
넓고 깨끗한 공기가 기분이 업되었습니다."
102,M. J.,8달 전,4,주차장 넓고 잘되어 있음
103,김동성,5달 전,5,넓고 좋습니다 다들 아시겠지만
104,Seong-chul Jeon,1년 전,3,"산책하기 좋습니다. 단, 여름에 모기가 많아요"
105,김정수,2달 전,5,축구 시합땜에 운동장
106,Namjin Kwak,8달 전,5,살아잇는 자연의 느낌
107,Sudalman,5달 전,5,산책하기 좋은곳
108,해바라기,1달 전,2,운동하러간길에
109,장강일,11달 전,4,봄과 가을 산책이 너무 좋은 코스
110,Mr.연호아범,1년 전,3,가까운 나들이 지역으로 괜찮아요. 주차공간도 많고 넓고. 도시락 들고 가보세요~
111,김종문,1년 전,4,강과습지탐방로가많아가벼운산책과건강을위해걷기운동하기좋은장소입니다             계절에따라꽃과향기도좋아요
112,김가현,1년 전,5,"자전거, 싸이클, 공간이 있습니다. 골프장도 있습니다. 생태공원 정말 좋습니다. 강아지 산책시키기에 최고입니다."
113,cha eon Lee,1년 전,5,크리스마스에 방문했습니다. 날이 추워 사람이 많지 않아서 주차도 하기 좋았고 다니기도 좋았습니다. 자전거 대여해서 트랙 돌기도 좋았구요. 5세 아이와 외출했는데 자전거 신나게 탔다고 좋아하네요
114,부산엄지척콜밴,1년 전,5,벚꽃이 활짝 피었다 이제 슬슬 지고 있어요. 이제는 산수유가 활짝 피어 있어서 참 멋진 풍경 사진을 찍어요.
115,소르빈,1년 전,5,"엄청 평화로운곳,자전거 대여는 꽤나 안쪽으로 들어가야지 있음"
116,손병관,5달 전,5,쏠로일때 봄에 가면 떨어지는 벚꽃을보면 마음이 싱숭생숭함
117,박홍구,11달 전,4,산책하기 좋아요 안락하늘소 3마리 발견
118,김상근,9달 전,5,봄에 특별히 좋아요...
119,soonheeshin,11달 전,4,공원으로는 좋았어요. 단지 장애인이 힐체어나 스쿠트 타고 다니려니 진흙 길이 있어서 불편 했어요
120,금석훈,1년 전,5,어린이들과 자연생태를 이해하기좋고 가족 피크닉 장소도 좋음
121,한재형,11달 전,4,넓은공간에 부대시설이 조아요
122,H.S. Song,1년 전,4,주차가 어려웠습니다. 사상(?) 지하철 역에서 걸어갈 경우 성인 속도로 10분이 채 걸리지 않는것 같네요.
123,송호신,1년 전,5,"서부산의 유서깊은 넓은공원
들판이 넓고 레저시설 오토캠핑 수영장 요트체험장등이 있다
조깅이나 자전거 산책에 좋고 야외헬스시설좋다 쓰레기는 자가수거이며
휴식에 좋다"
124,철탱크,9달 전,5,아주 좋은 곳입니다.
125,박병진,1년 전,3,"낙동강에 면한 사상구의 휴식 공원으로 봄,가을로 산책하거나 자전거 타기 등에 아주 좋은 곳. 반면 너무 많은 승용차가 출입하는 점이 아늑한 분위기를 망치는 경향 있음."
126,Hyuncheol Jeong,1년 전,5,진정한 힐링생태공원 크기의 방대한크기와 고즈넉함 그리고 노을
127,하승주,5달 전,5,벚꽃피면 굉장히 좋아요
128,박태열,9달 전,5,아이들과 자전거타기좋아요
129,sanggon lee,2년 전,3,주차장소 많아요. 물론 무료구요. 돗자리피고 않아서 놀기좋아요. 아이들은 자전거 인라인등 레저 활동하기 좋구요. 가족들과 나들이가기 좋은데 화장실을 제외한 편의 시설은 많이없어서 먹을것은 챙겨 가는게 좋을것같네요.
130,L. Espirito,9달 전,5,사상에 공원이 없어가 되겠나 해가 지은 공원이라죠. 오랜만에 왔더니 스케이트장도 생기고 사이클장도 생기고 했네요.
131,정진영,1년 전,4,.낙동강둑에는 벗나무가장관입니다 봄에벗꽃 필때는 너무 아름다워 전국에서 구경옵니다 요사이는 벗꽃이지고 벗나무잎이 무성하여 시원하고산책하기좋습니다 자전거 길과 사람이 다니는길이구분되어있니다 여기자전거길 이 안동땜까지 485키로 연결되어있어니 한번도전해 볼만함니다
132,김경택,2달 전,5,조0ㅏ0ㅛㄷ
133,진대훈,6달 전,5,산책하기 좋은곳
134,한미현,1년 전,4,도심에서 조금벗어나 즐기기좋은곳입니다 댕댕이도 좋아합니다
135,박준하,1년 전,5,"벚꽃 명소,제방 산책길 걷기 편해서 걷기운동 하기 좋아요"
136,이호준,1년 전,3,나만의시간넓은나의정원특히국붕장앞정원 의허브향
137,ssica Je,1년 전,5,지난 추석때 방문했습니다. 자전저 타고 싶어해서 자건거 대여해서 즐겁게 타고 왔어요~ 넓은 공간에 강변따라 타면 더 근사한 곳입니다.
138,사파마날리,1년 전,5,"돗자리 도시락 들고와서
 놀다 쉬다 가기 좋아요~"
139,최미순,1년 전,5,봄마다  찾아가는 이곳은 너무예쁘고  아무리 보아도 질리지않아요~~
140,떠나자tv로즈마리,1년 전,5,"언제가도 좋은곳

6월의 신록이 가득한"
141,김민성,4달 전,5,벚꽃이 필때는 진짜 아름다워요
142,이태한,1년 전,5,데이트 좋아요 밤에보이는 뷰도 아름다워요
143,JAEHO JANG,10달 전,5,"부산에도 이런 곳이 있다니!
편의시설이 조금 부족한 듯 하지만 낙동강 하구가 이렇게 넓으니 이정도도 대단!"
144,이종명,1년 전,5,"확트인 넓은 공간과 갈대숲, 캠프장등등 다양한장소가 마련되어 있고 
산책하기에 좋습니다"
145,태현,7달 전,3,힐링하기 좋은장소
146,임성일,1년 전,5,매번 지나가면서 이쁘다했는데 좋아요 그리고 캠핑첨와봤는데 추천합니다
147,Youngjoon Kwon,1년 전,4,화장실만 쉽게 찾을 수 있으면  아주 좋을텐데....
148,장재익,9달 전,2,편의시설이 많이 부족해요..
149,김개똘,9달 전,5,산책댕기기좋음
150,김영태,1년 전,5,사상지역휴식공간으로최고입니다
151,BC A,1년 전,3,산책 하기 좋은 곳 햇빛을 피하는 장소가 부족하다
152,임정옥,6달 전,5,편의점없는게싫음 화장실도 넘없음
153,임용태,2년 전,4,"저는 사회인 야구를 해서 야구장만 이용합니다
야구장 관리수준이 높지는 않지만 타구장에 비해 (3시간 기준 평일 2만원, 주말 3만원) 가격도 싸고 부산 시내라 가까워서 좋습니다.
접근성과 가성비가 좋다는 뜻입니다."
154,Sweep hee,1년 전,5,"집 앞임. 평생동안 여기 몇천번은 온 듯. 헬스기구 공짜로 이용할 수 있고 길게 늘어져있는 산책로. 안으로 들어가면 낙동강 볼 수 있고 근처에 잔디, 벤치 잘 깔아뒀음. 근데 축제때는 별로 오고싶지 않은 장소기도 함. 경치와 어울리지 않는 오래된 파라솔 노점상들 많음. 쓰레기 아무데나 버리는 사람도 많고... 여름에 락페도 열림."
155,최피취,1년 전,5,"축제기간 많은 인원이 방문 하였음에도 깨끗하고 질서있었어요.
노점상 번데기 냄새 많이나요."
156,임용택,6달 전,5,산책하기좋음
157,MH B,8달 전,4,주차용이 ( 단 축제기간엔 스트레스 )
158,손양임,9달 전,5,"부산에 자외전 안되서 불편하다..,"
159,서상현,1년 전,4,유채꽃이 만발함 한두시간 쉬어가기 좋은곳
160,jonghun lee,11달 전,5,강아지와 놀기좋은곳
161,DONGJIN KIM,9달 전,4,강변에 좋은공기
162,김기문,1년 전,5,"산책하기 좋고 축구장,야구장,족구장,인라인스케이트,자전거 탈 곳 다 따로 있어요 테니스장도 따로 있고 굉장히 넓어서 공기도 좋고 놀기 좋습니다. 주말에 따로 온라인예약 하면 캠핑장도 쓸 수 있어요"
163,mimi ha,10달 전,1,엘레베이터 안고치고있음. 노약자들 계단으로 걸어다님
164,윤상근,9달 전,5,부산 근교에 아이들과 당일치기 나들이에 이만한장소가 없는것 같아요~~~
165,욱이,1년 전,5,"주차장도 많고
쉴수 있는 공간도 많아요
여유롭게 산책하기 좋은 곳이예요"
166,이선주,1년 전,5,돗자리들고 도시락싸서 쉬고오기에 좋아요 운동기구도있고 자전거라인도있어요
167,KHL_ Hoon,1년 전,3,맑은날에 가면 괜찮은데.....그늘도 부족해서 쉴곳이 부족하고 행사기간에 비가오면 좀 엉망진창이 되는게 아쉽....
168,김민철,1년 전,5,"삼락생태공원, 낙동강제방 벚꽃죽제에
가서 걸었어요. 벚꽃 피어있는 환상적인 길입니다."
169,Dong-hun Jeon,1년 전,5,"가족나들이, 산책, 자전거, 휴식을 위한 최고의 장소. 넓은 주차 시설, 확 트인 경치~!"
170,만텐,2년 전,5,"허허벌판을 흙을 메꾸어 만든 대규모 프로젝트. 넓은 주차장과 다양한 섹션으로 길이가 화명동까지 이어진듯. 
날씨 풀리면 타동네 사람들이 더 많이 놀러온다는 후문."
171,SEUNGBONG YU,10달 전,5,좋은데 그만오고싶어요
172,조광제,1년 전,5,운동하기 좋고 가족이 함께 할 수있어서 좋다
173,최상헌,6달 전,5,사계절 다 좋습니다
174,다마c,1년 전,3,벚꽃이 이쁩니다. 먹거리가 있음. 3월29일 바람이 많이 불어 춥네요..
175,gongsil Cheon,1년 전,4,"자전거 트랙, 헬스장.
넓은 주차장.
맑은 공기

산책하고
아이들과 놀기에 딱 좋은 곳."
176,오병석,5달 전,5,자전거 타기 좋아요
177,igo R,1년 전,5,"어릴 때부터 많이 왔었는 데,진짜 깨끗하고 좋습니다."
178,2307김보근,2년 전,5,"삼락공원에는 원형 자전거 경기장인 ""벨로드롬""이 존재합니다. 연인또는 친구, 가족과의 자전거 시합 경쟁을 펼칠 수 있으며 근처에는 테니스장과 야구장 주차장, 캠핑장, 편의점, 화장실 등이 배치되어있어 운동하러오거나 나들이 하기 좋습니다.
 또한 국궁장, 축구장, 야구장, 오토캠핑장 등이 마련되어있어 다양한 스포츠를 즐길 수 있습니다."
179,정우영,1년 전,4,넓다. 여름에는 모기를 조심할것. 겨울은 추위를 조심할것 끝.
180,Jiene Kim,9달 전,1,불륜커플 왜이렇게 많아요 ㅠㅠ
181,손태용,1년 전,4,가족들과 자전거  타기도 좋고 축구 하기도 좋아요
182,임금혁,8달 전,5,봄이면 벚꽃과 유채꽅 가을이면 갈대와 핑크뮬리
183,효TV,1년 전,3,운동하고 바람 쐬기 좋은 곳
184,안길섭,1년 전,4,"가까운곳에 봄을 느끼기 좋은곳이고
접근성이 좋습니다"
185,문희섭,1년 전,5,"자전거 타기 좋은곳,벗꽃길"
186,배수용,1년 전,5,사계절 자연과 함께 할수있는 부산의 천연 휴양지
187,박주경,1년 전,5,부산국제록페스티벌 보고 왔어요. 멋졌어요!!
188,브루스리,1년 전,5,꽃들이 예쁘게 펴있어요~ 산책하기 좋은곳
189,아이엔지,7달 전,5,벚꽃필때 좋아요
190,최학림,1년 전,5,반려동물과 산책하기 좋은장소
191,이승욱,11달 전,5,야구하기좋은곳ㅋㅋ
192,신용범,1달 전,4,좋아요
193,원희태,1년 전,4,휴식하기에 좋은곳입니다!
194,김경록,1년 전,5,해마다 겨울이면 강한 북서계절풍이 불어 홈런드림을 가진이여.삼락씨구장에 가서 맘껏 배트를 휘둘러보삼♡♡♡
195,김구구,1년 전,4,바람이 조금 불지만 따뜻하고 꽃이랑 잎이펴서 천천히 구경하며 걷기 좋아요
196,허상운,1년 전,4,그래도 인공이 덜한 자연미의 굴곡진 산책길이 좋은 낙동강하류의 생태공원
197,송우락,10달 전,4,야구하기좋은곳
198,엄성환,1년 전,5,운동기구도 있고 산책거리로 정말좋아요~
199,궁현주,8달 전,5,자주 들러 산책하고 사색합니다
200,성이리,1년 전,5,운동하기 좋고  경치도 .지금 갈대밭이 멋짐...추움...강변 경치좋음
201,Younghwa Kim,1년 전,4,12시 이전에 오면 주차하기 편합니다. 자전거 대여소 옆 P4번 주차정에 주차하면 좋고 자전거 대여해서 타고 갈대숲 산책하기 좋습니다
202,김지성,10달 전,3,침수로 인해 많은 부분이 복구가 덜된..
203,윤형권,1년 전,5,계절을 잘 맞춰오면 예쁜 풍경을 볼 수 있다
204,김도형,1년 전,3,"산책, 데이트 장소로 좋아요"
205,김병곤,1년 전,5,벚꽃이 만발해서 무척이나 좋았어요~
206,MJ J,1년 전,5,넓고 뛰어놀기 좋아요 주차도 넉넉함
207,임수혁,1년 전,4,좋앗습니다 주차자리도 많고 저렴한 자전거!
208,대충지음,1년 전,3,시기를 잘 맞춰서 가야함. 현재 5월 볼거리가 부족함
209,흑고미,1년 전,5,운동하기도 좋고 봄에 정말 이뻐요
210,박선이,1년 전,5,초원도 넓어서 좋아요 
211,마란마리아,1년 전,4,좋아요애들놀기딱ㅎ
212,박재호,11달 전,5,부산 락페스티벌 때문에 갔는데 근처 살면 좋겠다 싶더라구요
213,Jongsoon Kim,9달 전,5,산책하기 좋아요
214,최준영,1년 전,5,경치가 너무 좋아요
215,Bs K,1년 전,4,날씨의 영향을 많이 받기에 눈치껏 방문 추천.
216,밍기,1년 전,4,야영장도 생겼고 넓은 대지..좋아요 헬쓰장도 있어요 ㅋ 나름 기구들 괜찮던데요~ 데이트 열심히들 하러 오세용
217,김우진,11달 전,5,시원~ 허니 좋다
218,김종백,1년 전,5,"벚꽃필때 가면 정말 좋아요
운동 체육시설 참  좋습니다
가족끼리 소풍처럼 가보세요"
219,진영최,2년 전,5,"주차장도 넓고 빌릴자전거도 많고 만약 고장난 자전거면 딴걸로 바꿔주고 딴것도 타기 좋고 막 돗자리 깔고 텐트쳐서 김밥같은거 싸와서 먹기도 좋음 주변에 과자,오뎅,음료수 같은 것도 팔아서 좋음 하지만 옛날엔 주민등록증같은거 내면 무료지만 이제 돈주고 타야됨 정말 그래도 좋은곳임"
220,이성무,1년 전,5,강아지 산책하기 좋지만 철새도래지라 방역을 안합니다. 진드기 벌레기피제 반드시 뿌리고가세요 그리고 도깨비바늘조심하세요 개슴도치됩니다
221,이안이설,1년 전,4,아이들에게는 정말 좋은곳 같아요
